Address,Neighborhood,Ward,Description,ZipCode,Usage,Lot Square Feet,ParcelId
4511 ALDINE AV,The Greater Ville,4,,63113,Vacant Lot,4089.870815,37210002800
4225 EVANS AV,Vandeventer,4,,63113,Vacant Lot,4102.1322825,37280003500
4215 LABADIE AV,The Greater Ville,4,,63115,Vacant Lot,4103.7625515,44681400900
4212 W EVANS AV,Vandeventer,4,,63113,Vacant Lot,4109.283107,37290002100
4118 W LEXINGTON AV,The Greater Ville,4,,63115,Vacant Lot,4109.450678,44400800600
4337 W ST LOUIS AV,The Greater Ville,4,,63115,Vacant Lot,4109.7949755,44680606200
4337 EVANS AV,Vandeventer,4,,63113,Vacant Lot,4110.744064,37270003310
4330 ASHLAND AV,The Greater Ville,4,,63115,Vacant Lot,4110.7803195,36190004000
4452 ST FERDINAND AV,The Ville,4,,63113,Vacant Lot,4116.716941,37040000100
4401 ST FERDINAND AV,The Ville,4,,63113,Vacant Lot,4119.7763175,37050002000
4323 EVANS AV,Vandeventer,4,,63113,Vacant Lot,4120.8201265,37270002900
4341 EVANS AV,Vandeventer,4,,63113,Vacant Lot,4122.453999,37270003600
4309 EVANS AV,Vandeventer,4,,63113,Vacant Lot,4122.459228,37270002500
4529 MAFFITT AV,The Greater Ville,4,,63113,Vacant Lot,4123.4139655,37140003600
4264 W COTE BRILLIANTE AV,The Ville,4,,63113,Vacant Lot,4124.52575,36830000200
4343 W ST LOUIS AV,The Greater Ville,4,,63115,Vacant Lot,4124.67981,44680606500
4557 NEWBERRY TER,Lewis Place,4,,63113,Vacant Lot,4125.11,45530503700
3018 NEW ASHLAND PL,The Greater Ville,4,,63115,Vacant Lot,4125.7422205,44670400100
